Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price,month,year,weekday,No_of_Week
46.0,27,1,1,0,60,0.0,111.0,10.0,6659.0,9900.0,8209.80745,3,2016,2,13
28.0,55,1,8,0,63,0.0,258.0,2.0,4440.0,6490.0,5666.8491,5,2015,3,19
43.0,320,0,7,0,87,0.0,260.0,11.0,8257.0,15501.0,11977.080192,3,2016,2,11
23.0,358,1,5,3,52,0.0,258.0,13.0,2120.0,15949.0,9244.692864,3,2016,1,13
20.0,358,0,5,3,27,0.0,258.0,14.0,2486.0,14677.0,8829.381225,10,2015,1,43
31.0,447,0,7,0,12,0.0,326.0,7.0,1587.0,4420.0,3331.26684,11,2015,6,44
14.0,38,1,1,3,49,0.0,152.0,12.0,4198.0,8015.0,6225.728688,3,2016,1,13
2.0,268,1,3,2,28,,340.0,9.0,945.0,2956.0,,9,2015,3,39
27.0,441,0,5,0,80,0.0,241.0,12.0,3020.0,4383.0,3858.13385,9,2015,2,39
43.0,451,1,9,0,87,0.0,458.0,13.0,4724.0,6418.0,5949.318144,11,2015,3,46
9.0,165,1,8,0,93,0.0,258.0,9.0,3662.0,5596.0,4820.737152000001,5,2015,5,19
49.0,11,1,6,3,77,0.0,183.0,10.0,567.0,1309.0,1110.7206,5,2015,5,19
22.0,423,1,2,0,6,0.0,101.0,6.0,5509.0,9435.0,7576.722252,8,2015,0,34
12.0,358,0,2,3,21,0.0,105.0,8.0,2945.0,8553.0,5843.9535,3,2016,2,13
24.0,58,1,9,1,39,0.0,646.0,10.0,3251.0,4273.0,4400.7306,9,2015,5,39
10.0,14,1,4,0,80,0.0,248.0,15.0,3278.0,4593.0,4095.1385,5,2015,1,19
13.0,235,0,9,2,64,0.0,587.0,10.0,3166.0,5807.0,5027.2101,5,2015,2,19
29.0,55,1,4,0,95,0.0,214.0,12.0,4100.0,5368.0,4882.347008,11,2015,1,47
21.0,85,1,5,2,89,1.0,240.0,15.0,1805.0,2627.0,363.5858688,8,2015,6,33
7.0,358,1,4,3,31,0.0,,,9483.0,13644.0,11761.213275,5,2015,5,19
12.0,3,1,10,0,32,0.0,369.0,14.0,1247.0,5544.79248046875,2632.572075,9,2015,2,39
20.0,230,1,4,1,76,0.0,247.0,14.0,8227.0,10814.0,9683.0217,3,2016,0,13
5.0,14,1,6,0,51,0.0,155.0,7.0,3339.0,4327.0,3965.139648,8,2015,5,34
32.0,451,0,6,0,73,0.0,158.0,2.0,4795.0,6572.0,5784.2136,9,2015,1,39
43.0,111,1,5,1,86,0.0,210.0,14.0,1129.0,3142.0,2314.671744,9,2015,2,39
34.0,65,1,8,2,68,0.0,266.0,7.0,3271.0,5304.0,4510.935,11,2015,5,46
17.0,23,1,7,1,70,0.0,295.0,16.0,2710.0,5516.0,4370.4342,9,2015,1,39
50.0,103,1,7,1,17,0.0,328.0,,3790.0,6945.0,5699.759967,8,2015,4,34
45.0,0,0,4,0,45,1.0,230.0,17.0,1546.0,3162.0,385.71552,10,2015,5,42
12.0,165,1,7,0,52,0.0,263.0,13.0,3514.0,5021.0,4507.0192799999995,11,2015,5,47
19.0,24,0,6,0,75,0.0,104.0,9.0,8262.0,17893.763671875,9766.1322,11,2015,4,47
5.0,110,1,8,0,77,0.0,258.0,4.0,710.0,999.0,1101.7116,8,2015,3,34
42.0,83,1,8,1,87,0.0,259.0,1.0,4480.0,9795.0,7290.690176000001,3,2016,1,13
40.0,443,1,8,0,93,0.0,202.0,1.0,5708.0,7571.0,6743.632895999999,11,2015,6,46
43.0,83,1,4,0,89,1.0,271.0,12.0,2284.0,14031.0,1247.5167935999998,3,2016,0,13
16.0,14,0,1,0,7,1.0,173.0,7.0,3295.0,4992.0,647.845209,5,2015,1,19
36.0,447,1,7,0,75,1.0,267.0,10.0,5231.0,8004.0,1023.3313199999999,8,2015,0,34
28.0,58,0,4,0,12,0.0,212.0,12.0,3645.0,4612.0,4345.015455,8,2015,6,34
1.0,93,1,7,2,48,1.0,273.0,6.0,4535.0,7531.0,940.3857648000001,3,2016,2,11
18.0,275,0,8,0,79,0.0,254.0,5.0,4489.0,5929.0,5410.944,2,2016,0,9
34.0,358,1,8,3,43,0.0,257.0,9.0,4505.0,14923.0,9915.869664,5,2015,5,19
2.0,131,0,10,0,74,0.0,363.0,12.0,2085.0,6513.0,4620.4884,3,2016,1,13
8.0,447,1,5,0,46,1.0,287.0,10.0,4568.0,6014.0,832.1335416000001,7,2015,2,30
11.0,452,1,9,0,72,0.0,468.0,6.0,3067.0,4426.0,4174.5825,9,2015,2,39
38.0,186,1,7,0,17,0.0,274.0,14.0,4487.0,8784.0,6918.098120999999,3,2016,1,13
7.0,24,1,9,0,72,0.0,585.0,7.0,6559.0,9493.0,8530.4538,3,2016,3,12
28.0,23,1,6,1,68,0.0,165.0,1.0,3582.0,5581.0,4699.4904,8,2015,6,34
16.0,1,1,2,0,47,0.0,133.0,5.0,5230.0,7878.0,6647.462208,11,2014,5,44
39.0,452,1,9,0,56,0.0,507.0,16.0,4139.0,5638.0,5368.738752,11,2015,5,46
30.0,451,1,10,0,53,0.0,,17.0,4627.0,9790.8994140625,5512.304016,9,2015,1,39
30.0,205,1,3,0,9,0.0,259.0,13.0,,3224.0,2939.186052,8,2015,6,34
22.0,60,1,1,3,17,0.0,148.0,17.0,247.0,1337.0,941.2558650000001,3,2016,6,12
33.0,358,1,10,3,1,0.0,379.0,14.0,6796.0,12106.0,9842.245676999999,3,2016,5,11
36.0,63,0,8,1,61,0.0,283.0,3.0,2006.0,11705.0,7069.1544,8,2015,2,34
36.0,14,0,2,0,91,0.0,130.0,8.0,3724.0,4529.0,4198.45888,9,2015,5,39
23.0,24,1,7,0,76,0.0,314.0,11.0,7017.0,10671.0,9076.0527,3,2016,0,13
8.0,441,0,4,2,80,0.0,208.0,14.0,3617.0,5321.0,4577.88665,5,2015,3,19
47.0,199,1,4,0,5,0.0,252.0,17.0,4071.0,7530.0,6061.753764,2,2016,5,5
30.0,73,0,4,0,66,0.0,292.0,17.0,2231.0,3321.0,3041.9928,1,2016,0,1
26.0,443,1,6,0,65,0.0,157.0,7.0,4871.0,6745.0,5909.3793,11,2015,4,46
2.0,255,0,5,2,32,0.0,280.0,10.0,124.0,604.0,642.7491,3,2016,2,13
24.0,13,1,6,3,28,0.0,188.0,7.0,365.0,2127.0,1431.282825,9,2015,2,39
20.0,24,1,10,0,49,0.0,357.0,17.0,5764.0,7916.0,7162.4947680000005,3,2016,3,10
4.0,0,1,7,0,43,1.0,342.0,9.0,8648.0,12706.0,1643.7040344,3,2016,6,12
33.0,3,0,8,0,68,0.0,205.0,8.0,1693.0,2929.0,2492.6715,9,2015,1,37
7.0,23,0,2,1,57,0.0,139.0,9.0,2587.0,4660.0,3741.6591359999998,9,2015,1,39
23.0,320,1,4,0,38,0.0,233.0,14.0,2202.0,15805.0,9225.97725,3,2016,4,11
46.0,447,1,3,0,23,0.0,325.0,9.0,2630.0,6311.76025390625,3526.551525,9,2015,2,39
31.0,423,1,2,0,34,0.0,142.0,5.0,3291.0,8577.0,6063.772575,8,2015,2,34
24.0,192,1,7,0,69,1.0,260.0,7.0,2219.0,6851.0,712.528245,1,2016,1,1
45.0,407,0,5,0,86,0.0,208.0,11.0,,4378.0,3375.7095679999998,5,2015,3,19
26.0,62,1,7,0,70,,290.0,7.0,2895.0,12275.0,7801.5069,11,2015,3,46
31.0,116,1,3,0,71,0.0,284.0,11.0,3354.0,4345.0,4096.3527,3,2016,2,13
12.0,58,0,1,1,28,0.0,122.0,15.0,2745.0,4082.0,3531.76845,9,2015,4,39
11.0,358,0,3,3,47,0.0,242.0,6.0,3781.0,13928.0,9043.558416,5,2015,3,19
43.0,97,1,1,0,76,0.0,146.0,16.0,2552.0,6943.0,4852.089,3,2016,1,13
29.0,14,0,10,0,82,0.0,398.0,17.0,3589.0,5164.0,4713.080064,11,2015,0,45
49.0,24,0,4,0,7,0.0,235.0,16.0,5563.0,7986.0,7019.637965999999,3,2016,2,11
4.0,55,1,5,0,97,0.0,253.0,16.0,838.0,2685.0,1988.270592,8,2015,4,34
50.0,447,0,3,0,94,0.0,282.0,9.0,3220.0,4545.0,4107.970944,5,2015,3,19
10.0,115,0,2,0,78,0.0,112.0,5.0,3170.0,4319.0,3819.7863,3,2016,2,13
19.0,162,0,8,1,65,0.0,267.0,1.0,4224.0,5782.0,5217.795,9,2015,4,39
33.0,14,0,6,0,90,0.0,130.0,2.0,4431.0,10190.0595703125,5398.200192,8,2015,6,33
12.0,37,0,1,2,86,0.0,131.0,17.0,7426.0,10131.0,8795.908352,3,2016,2,13
37.0,3,1,8,0,18,0.0,225.0,8.0,2303.0,3486.0,3121.507818,9,2015,4,39
13.0,24,1,2,0,97,1.0,113.0,5.0,4272.0,5930.0,771.214752,11,2015,4,46
3.0,113,1,9,0,46,0.0,465.0,7.0,1491.0,3778.0,3081.491424,9,2015,1,39
19.0,100,0,1,0,66,0.0,127.0,6.0,1169.0,2825.0,2103.948,9,2015,2,39
9.0,74,1,5,0,16,0.0,263.0,10.0,2847.0,6397.41552734375,3655.024461,9,2015,1,39
11.0,3,0,10,0,19,0.0,379.0,13.0,2837.0,4190.0,3896.680293,11,2015,6,44
30.0,57,1,7,0,2,0.0,255.0,16.0,5110.0,8108.0,6873.882543000001,3,2016,1,10
11.0,24,1,6,0,1,0.0,169.0,10.0,6425.0,8983.0,7879.911929999999,8,2015,2,34
21.0,57,1,10,0,12,0.0,372.0,11.0,2812.0,8121.0,5843.9255490000005,2,2016,5,7
21.0,443,1,5,0,94,0.0,250.0,10.0,5692.0,8117.0,7058.27584,8,2015,5,33
12.0,70,0,5,2,89,0.0,265.0,14.0,1419.0,4248.0,3057.794432,8,2015,3,34
23.0,268,1,2,2,5,0.0,147.0,9.0,786.0,1934.0,1508.069178,8,2015,4,34
28.0,58,1,7,0,86,0.0,273.0,15.0,5497.0,7865.0,6863.738112000001,8,2015,0,34
6.0,451,1,5,0,84,0.0,217.0,15.0,5801.0,7990.0,7020.271104,11,2015,3,47
11.0,9,1,4,3,12,0.0,297.0,14.0,5031.0,13343.0,9495.910314,5,2015,1,19
5.0,444,1,8,1,69,1.0,216.0,5.0,5934.0,8806.0,1127.0674800000002,8,2015,5,33
42.0,24,0,5,0,36,0.0,288.0,12.0,3771.0,4675.0,4504.779825,9,2015,3,39
9.0,452,1,6,0,50,0.0,127.0,5.0,6107.0,8361.0,7317.486432,11,2015,3,47
5.0,3,1,7,0,47,0.0,330.0,7.0,4106.0,5371.0,5039.360352000001,3,2016,1,13
16.0,146,1,8,2,68,0.0,250.0,5.0,,4057.854248046875,2079.9207,9,2015,1,39
20.0,204,0,4,0,60,0.0,252.0,15.0,4237.0,6587.0,5544.4973,3,2016,0,10
25.0,452,1,9,0,30,0.0,642.0,,6251.0,8802.0,8157.086175,8,2015,2,34
42.0,103,1,4,0,66,0.0,253.0,14.0,10560.0,16382.0,13605.4314,11,2015,2,47
34.0,452,1,5,0,58,1.0,253.0,10.0,3625.0,5198.0,695.8543463999999,1,2016,3,1
2.0,23,0,4,2,12,1.0,274.0,12.0,1168.0,4122.0,438.28166745,9,2015,2,39
26.0,367,1,4,0,78,0.0,204.0,15.0,2592.0,7152.21240234375,3657.2877,8,2015,6,34
18.0,114,1,6,0,21,0.0,174.0,10.0,840.0,3524.0,2352.28455,8,2015,3,34
46.0,73,1,5,0,5,0.0,221.0,17.0,2843.0,4289.0,3792.6806939999997,5,2015,3,19
7.0,24,0,7,0,99,0.0,257.0,7.0,4573.0,6063.0,5498.386432,2,2016,0,8
35.0,55,0,5,0,30,0.0,258.0,15.0,4460.0,6441.0,5702.3883,5,2015,3,19
1.0,83,1,4,0,5,0.0,247.0,14.0,1833.0,9337.0,5839.236018,3,2016,0,13
9.0,13,1,9,3,5,0.0,640.0,9.0,312.0,2102.0,1847.905191,9,2015,2,39
3.0,268,1,4,0,16,0.0,287.0,15.0,1506.0,3896.0,2991.750795,1,2016,6,3
6.0,79,1,1,0,24,0.0,100.0,5.0,1317.0,1907.0,1708.527975,8,2015,4,34
15.0,268,1,2,0,1,0.0,113.0,6.0,1732.0,3234.0,2597.230251,1,2016,5,3
39.0,23,1,10,0,72,0.0,356.0,14.0,4533.0,7840.0,6485.6484,8,2015,4,34
40.0,1,0,3,0,79,1.0,209.0,8.0,1333.0,5013.0,502.60419,2,2016,2,8
13.0,58,0,3,0,29,0.0,349.0,12.0,4071.0,5621.0,5187.81795,8,2015,5,34
29.0,80,1,2,2,27,0.0,110.0,7.0,6211.0,11544.0,8971.225725,3,2016,0,13
9.0,469,1,4,0,60,0.0,259.0,17.0,4355.0,9753.0751953125,5253.26095,5,2015,2,19
22.0,24,1,6,0,77,0.0,119.0,6.0,6381.0,9533.0,7999.9623,8,2015,1,34
39.0,70,0,10,2,98,0.0,,16.0,3225.0,5287.0,4592.708736,11,2015,4,47
27.0,443,1,4,0,56,0.0,206.0,15.0,2761.0,3963.0,3550.1725439999996,9,2015,2,39
45.0,451,0,6,0,32,0.0,166.0,9.0,6068.0,8070.0,7223.2566,11,2015,3,47
20.0,121,1,1,0,98,0.0,130.0,8.0,1193.0,3728.0,2555.138432,1,2016,2,3
33.0,39,1,10,3,16,0.0,363.0,12.0,2978.0,5626.0,4669.692984,5,2015,1,19
28.0,445,0,2,0,85,0.0,148.0,8.0,7184.0,9732.0,8488.746112,11,2015,2,47
25.0,459,0,10,0,64,0.0,355.0,12.0,6050.0,9081.0,7850.2842,12,2014,5,49
21.0,1,0,1,0,12,0.0,100.0,17.0,1515.0,5353.0,3539.486016,3,2016,5,9
5.0,70,1,2,2,74,0.0,143.0,7.0,1305.0,5650.0,3586.7007,12,2015,1,49
41.0,463,1,2,0,56,0.0,136.0,7.0,1571.0,3392.0,2602.476864,8,2015,6,33
43.0,70,0,3,2,96,0.0,225.0,12.0,5761.0,11896.0,8933.567104000002,11,2015,3,47
8.0,443,0,5,0,29,0.0,299.0,14.0,3582.0,4898.0,4533.57765,9,2015,5,39
43.0,55,1,3,0,7,1.0,329.0,11.0,2428.0,5936.0,677.2722660000001,2,2016,3,5
30.0,454,1,4,0,77,0.0,209.0,12.0,2621.0,5024.0,3995.7291,5,2015,1,19
34.0,358,0,10,3,10,0.0,353.0,12.0,1758.0,6758.0,4615.648389,9,2015,5,39
50.0,141,1,5,0,5,0.0,205.0,13.0,4444.0,5511.0,5188.451103,8,2015,5,33
16.0,57,0,3,0,91,0.0,307.0,8.0,3467.0,5324.0,4638.253312,10,2015,1,43
46.0,452,0,3,0,57,0.0,335.0,11.0,4545.0,5540.0,5348.59848,2,2016,0,8
6.0,38,1,10,3,90,0.0,367.0,15.0,4420.0,11059.0,8001.209215999999,3,2016,1,13
21.0,9,0,3,3,47,0.0,253.0,8.0,7258.0,11265.0,9460.969776,5,2015,5,18
4.0,452,0,8,0,73,0.0,217.0,6.0,7001.0,9569.0,8421.9003,11,2015,3,47
24.0,74,1,9,0,45,0.0,536.0,12.0,8653.0,11277.0,10445.677056,3,2016,5,11
42.0,3,0,4,0,64,1.0,239.0,14.0,3830.0,6169.0,778.95675,3,2016,1,13
24.0,165,1,10,0,50,0.0,,16.0,3396.0,8015.4453125,4405.085856000001,8,2015,4,34
40.0,358,1,8,3,66,0.0,263.0,3.0,4223.0,13603.0,9086.8833,8,2015,0,34
24.0,55,0,10,0,1,0.0,395.0,17.0,979.0,2792.0,2283.481629,9,2015,1,39
24.0,358,1,2,3,28,0.0,133.0,6.0,4081.0,14589.0,9449.916,5,2015,4,19
45.0,216,0,8,0,6,0.0,289.0,1.0,261.0,488.0,663.473646,3,2016,4,9
35.0,93,1,4,2,42,0.0,287.0,13.0,4445.0,12539.1650390625,6360.470784,11,2015,1,47
37.0,113,1,6,0,84,0.0,150.0,7.0,3543.0,13427.0,8516.510464,3,2016,6,12
1.0,367,0,5,2,77,0.0,290.0,13.0,3024.0,6832.0,5172.1659,3,2016,2,13
15.0,3,1,6,0,29,0.0,182.0,8.0,1682.0,2689.0,2363.326875,9,2015,2,39
46.0,452,1,8,0,46,0.0,253.0,6.0,4121.0,6150.0,5357.073888,2,2016,6,7
27.0,100,0,2,0,82,1.0,122.0,6.0,3029.0,4191.0,552.0596928,9,2015,5,39
36.0,121,1,6,0,25,0.0,108.0,4.0,1237.0,3783.0,2612.4525,1,2016,1,1
18.0,63,1,7,1,70,0.0,269.0,6.0,1467.0,2483.0,2222.7282,5,2015,4,19
7.0,231,1,1,2,6,0.0,165.0,16.0,6204.0,7614.0,7084.341495000001,3,2016,1,13
2.0,14,0,6,0,85,0.0,141.0,6.0,5195.0,7772.0,6532.941184,11,2015,2,47
48.0,124,0,8,0,66,1.0,233.0,5.0,1991.0,2754.0,387.093465,1,2016,1,1
50.0,111,1,9,0,44,0.0,643.0,14.0,3314.0,6804.0,5672.541888000001,3,2016,1,13
7.0,443,0,10,0,67,0.0,373.0,12.0,3653.0,5239.0,4776.0966,1,2015,2,4
47.0,205,1,1,0,62,0.0,124.0,13.0,2579.0,5748.669921875,3184.8498,12,2015,3,49
36.0,11,1,4,3,74,0.0,245.0,15.0,453.0,1169.0,1046.6478,3,2016,6,9
26.0,152,1,6,0,32,0.0,191.0,10.0,1704.0,2199.0,2139.088875,9,2015,3,39
23.0,471,0,8,2,82,0.0,265.0,6.0,2273.0,3279.0,2998.855552,9,2015,5,39
8.0,445,1,7,0,4,0.0,257.0,9.0,3252.0,5335.0,4553.904564,1,2016,1,1
11.0,58,1,2,1,27,0.0,137.0,8.0,2806.0,6336.47900390625,3416.068425,9,2015,4,39
16.0,61,1,9,2,40,0.0,478.0,8.0,11149.0,16181.0,13835.466575,5,2015,5,19
13.0,234,1,10,1,19,0.0,352.0,11.0,8572.0,12012.0,10654.254468000001,3,2016,1,13
46.0,471,1,4,2,20,0.0,220.0,17.0,1879.0,2780.0,2496.00715,9,2015,2,38
3.0,454,1,10,0,59,0.0,395.0,12.0,2030.0,4151.0,3466.879056,2,2016,4,5
43.0,24,1,4,0,52,0.0,295.0,13.0,3312.0,4748.0,4302.5264640000005,5,2015,2,19
47.0,448,0,3,0,13,1.0,263.0,7.0,2641.0,3744.0,518.60763405,1,2016,2,1
20.0,452,0,10,0,17,0.0,369.0,15.0,3222.0,4601.0,4285.941363,9,2015,5,39
6.0,268,0,3,2,14,0.0,335.0,5.0,2506.0,3780.0,3479.2220429999998,3,2016,6,9
22.0,358,1,3,3,100,0.0,342.0,13.0,10616.0,26236.0,18369.131125,3,2016,0,13
50.0,358,1,3,3,22,0.0,200.0,7.0,4201.0,6364.0,5472.4845,8,2015,5,33
36.0,103,1,9,1,46,1.0,530.0,15.0,11822.0,16687.0,2206.6683552,11,2015,1,47
31.0,315,0,8,2,52,0.0,297.0,2.0,1691.0,8780.0,5498.1352799999995,3,2016,1,13
9.0,164,1,6,0,32,0.0,165.0,7.0,1784.0,2478.0,2291.746275,9,2015,1,39
39.0,3,1,3,0,14,0.0,249.0,9.0,2300.0,3205.0,3003.679602,3,2016,0,13
20.0,452,1,8,0,46,0.0,255.0,5.0,2963.0,4111.0,3769.489872,9,2015,3,39
32.0,65,0,9,2,48,0.0,539.0,9.0,2703.0,7256.09326171875,3853.6776,9,2015,5,39
34.0,141,1,3,0,44,0.0,272.0,5.0,3736.0,5300.0,4761.5895359999995,5,2015,3,21
9.0,23,1,1,0,37,0.0,141.0,9.0,3138.0,5296.0,4350.8955,3,2016,0,12
16.0,441,0,10,0,12,0.0,354.0,13.0,3150.0,4914.0,4390.800876,9,2015,2,39
27.0,315,1,8,2,92,0.0,283.0,4.0,1829.0,7960.0,5104.875776,3,2016,1,13
30.0,58,1,2,0,48,0.0,133.0,7.0,6066.0,7921.0,7085.759040000001,11,2015,3,47
30.0,275,0,1,0,78,0.0,173.0,16.0,775.0,1958.0,1526.2731,8,2015,3,34
32.0,23,1,5,2,95,0.0,202.0,13.0,600.0,2809.0,1881.234432,3,2016,6,12
18.0,446,0,3,0,38,1.0,318.0,5.0,6760.0,9513.0,1265.61353625,8,2015,0,34
15.0,58,1,8,0,89,0.0,202.0,4.0,5198.0,7926.0,6669.1806719999995,3,2016,1,11
34.0,73,1,1,0,75,0.0,120.0,12.0,1478.0,2074.0,1879.1487,9,2015,1,39
16.0,80,1,4,2,31,0.0,287.0,14.0,366.0,568.0,752.763375,9,2015,5,39
35.0,115,1,6,0,76,0.0,141.0,7.0,1401.0,2006.0,1827.2331,8,2015,5,34
27.0,103,0,8,1,97,0.0,259.0,1.0,9322.0,15054.0,12268.965632,11,2015,1,47
33.0,37,0,7,2,81,1.0,265.0,9.0,7549.0,10737.0,1392.0954432,3,2016,2,13
17.0,57,0,8,0,33,0.0,277.0,5.0,3378.0,7016.0,5462.9085,3,2016,6,9
2.0,186,1,10,0,58,0.0,393.0,17.0,6768.0,10088.0,8778.783888,3,2016,5,11
7.0,441,1,4,0,30,0.0,205.0,13.0,5025.0,8370.0,6893.931975,8,2015,5,33
16.0,446,1,9,0,37,0.0,631.0,9.0,5575.0,7324.0,7068.58425,5,2015,1,20
16.0,3,1,5,0,41,0.0,244.0,12.0,2145.0,3409.0,3004.974288,9,2015,4,39
43.0,220,1,5,0,49,0.0,233.0,14.0,3755.0,5429.0,4800.5088479999995,1,2016,1,4
48.0,175,1,4,2,29,1.0,221.0,13.0,4881.0,6701.0,900.67217625,12,2015,5,49
10.0,191,1,6,2,64,1.0,139.0,6.0,3502.0,6563.0,768.4162200000001,11,2015,5,46
32.0,57,1,1,0,1,0.0,133.0,6.0,4191.0,8706.0,6584.711463000001,3,2016,2,13
39.0,113,0,10,0,93,0.0,360.0,17.0,1699.0,6743.0,4522.110208,2,2016,0,7
